Dia,Portugal,Espanha,França ,Itália,Alemanha,Reino Unido,Rússia,E.U.A. ,Coreia do Sul,Japão,China,
23 janeiro,0,0,0,0,0,0,0,1,1,1,571,
24 janeiro ,0,0,0,0,0,0,0,1,2,1,830,
25 janeiro,0,0,3,0,0,0,0,2,2,3,1297,
26 janeiro,0,0,3,0,0,0,0,2,2,3,1985,
27 janeiro,0,0,3,0,0,0,0,5,4,4,2761,
28 janeiro,0,0,3,0,1,0,0,5,4,6,4537,
29 janeiro,0,0,4,0,4,0,0,5,4,7,5997,
30 janeiro,0,0,5,0,4,0,0,5,4,11,7736,
31 janeiro,0,0,6,2,5,0,0,6,11,14,9720,
1 fevereiro,0,1,6,2,7,2,0,7,12,17,11821,
2 fevereiro,0,1,6,2,8,2,2,8,15,20,14411,
3 fevereiro,0,1,6,2,10,2,2,11,15,20,17238,
4 fevereiro,0,1,6,2,12,2,2,11,16,20,20471,
5 fevereiro,0,1,6,2,12,2,2,11,18,33,24363,
6 fevereiro,0,1,6,2,12,2,2,12,23,25,28060,
7 fevereiro,0,1,6,3,13,3,2,12,24,25,31211,
8 fevereiro,0,1,6,3,14,3,2,12,24,25,24598,
9 fevereiro,0,1,11,3,14,3,2,12,27,26,37251,
10 fevereiro,0,2,11,3,14,4,2,12,27,26,40235,
11 fevereiro,0,2,11,3,14,8,2,13,28,26,42708,
12 fevereiro,0,2,11,3,16,8,2,13,28,28,44730,
13 fevereiro,0,2,11,3,16,9,2,14,28,29,46550,
14 fevereiro,0,2,11,3,16,9,2,15,28,33,63932,
15 fevereiro,0,2,11,3,16,9,2,15,28,41,66576,
16 fevereiro,0,2,12,3,16,9,2,15,29,53,68584,
17 fevereiro,0,2,12,3,16,9,2,15,30,59,70635,
18 fevereiro,0,2,12,3,16,9,2,15,31,65,72528,
19 fevereiro,0,2,12,3,16,9,2,15,51,73,74280,
20 fevereiro,0,2,12,3,16,9,2,15,104,85,74675,
21 fevereiro,0,2,12,3,16,9,2,15,204,93,75569,
22 fevereiro,0,2,12,9,16,9,2,35,346,105,76392,
23 fevereiro,0,2,12,76,16,9,2,35,602,132,77042,
24 fevereiro,0,2,12,124,16,9,2,35,763,144,77262,
25 fevereiro,0,2,12,299,16,13,2,53,977,157,77780,
26 fevereiro,0,2,12,322,18,13,2,53,1261,164,78191,
27 fevereiro,0,12,18,400,21,13,2,59,1766,186,78630,
28 fevereiro,0,25,38,650,26,16,2,59,2337,210,78961,
29 fevereiro,0,32,57,888,57,20,2,62,3150,230,79394,
1 março,0,45,100,1128,57,23,2,62,3736,239,79968,
2 março,0,45,100,1689,129,36,2,62,4212,254,80174,
3 março,2,114,191,2036,157,39,3,64,4812,268,80304,
4 março,2,151,212,2502,196,51,3,108,5328,284,80422,
5 março,7,198,282,3089,262,89,3,129,5766,317,80565,
6 março,9,257,420,3858,534,118,4,148,6284,349,80711,
7 março,13,374,613,4636,639,209,7,213,6767,408,80813,
8 março,21,430,706,5883,795,210,7,213,7134,455,80859,
9 março,30,589,1116,7375,1112,277,7,213,7382,488,80904,
10 março,30,1024,1402,9172,1139,323,7,472,7513,514,80924,
11 março,41,1639,1774,10149,1296,373,7,696,7755,568,80955,
12 março,41,2140,2269,12462,1567,460,20,987,7869,620,80981,
13 março,49,2965,2860,15113,2369,594,34,1264,7979,675,80991,
14 março,112,4231,3640,17660,3062,802,34,1678,8086,716,81021,
15 março,112,5753,4469,21157,3795,1144,34,1678,8162,780,81048,
16 março,245,7753,5380,24747,4838,1395,63,1678,8236,814,81077,
17 março,331,9191,6573,27980,6012,1547,93,3503,8320,829,81116,
18 março,448,11178,7652,31506,7156,1954,93,3536,8320,829,81116,
19 março,642,13716,9043,35713,8198,2630,147,7087,8413,873,81174,
20 março,785,17147,10877,41035,10999,3277,199,10442,8652,950,81300,
21 março,1020,19980,12475,47021,18323,3983,253,15219,8799,996,81416,
22 março,1280,24926,14296,53578,21463,5018,306,15219,8897,1046,81498,
23 março,1600,28572,15821,59138,24774,5687,438,31573,8961,1089,81601,
24 março,2060,33089,19615,63927,29212,6654,438,42164,9037,1128,81747,
25 março,2362,39673,22025,69176,31554,8081,658,51914,9137,1193,81848,
26 março,2995,47610,24920,74386,36508,9533,840,63570,9241,1291,81961,
27 março,3544,56188,28786,80539,42288,11662,1036,68334,9332,1387,82078,
28 março,4268,64059,32542,86498,48582,14547,1264,85228,9478,1499,82213,
29 março,5170,72248,37145,92472,52547,17093,1534,"103,321",9583,1693,82341,
30 março,5962,78797,39642,97689,57298,19526,1534,"122,653",9661,1866,82447,
31 março,6408,85195,43977,"101,739",61913,22145,1837,"140,640",9786,1953,82545,
1 abril,7443,94417,51477,"105,792",67366,25154,2337,"163,199",9887,2178,82631,
2 abril,8251,"102,136",56261,"110,574",73522,29478,2777,"187,302",9976,2384,82724,
3 abril,9034,"110,238",58327,"115,242",79696,33722,3548,"213,600",10062,2617,82802,
4 abril,9886,,,,,,,,,,,
5 abril,10524,,,,,,,,,,,
6 abril,11278,,,,,,,,,,,
7 abril,11730,,,,,,,,,,,
8 abril,12442,,,,,,,,,,,
9 abril,13141,,,,,,,,,,,
10 abril,13956,,,,,,,,,,,
